fold,observation,prediction
5.0,0.0604833334994813,0.0495881661772728
4.0,0.047041666538765,0.057772740721702576
4.0,0.0409708335064352,0.0365779846906662
3.0,0.033008333761245,0.018660739064216614
3.0,0.102325000489752,0.12626123428344727
3.0,0.0575083337413768,0.06512778997421265
1.0,0.146974999457598,0.10255733132362366
5.0,0.0826833331957459,0.08849209547042847
5.0,0.0568124996498227,0.06992893666028976
2.0,0.0431666670677563,0.07621487975120544
5.0,0.0881625001008312,0.07598090171813965
4.0,0.0496208334031204,0.07546280324459076
3.0,0.0361624996488293,0.04134828597307205
5.0,0.0301541665879389,0.03895505145192146
1.0,0.137966665904969,0.11518228054046631
2.0,0.0603333331334094,0.03369944542646408
1.0,0.0451565221275972,0.04054456949234009
3.0,0.0519500000712772,0.060077667236328125
4.0,0.0359416667682429,0.025602370500564575
2.0,0.0477999993599951,0.03237567096948624
5.0,0.135740909048102,0.061518147587776184
1.0,0.0806041670342286,0.09659633040428162
4.0,0.0512583331825833,0.05041724443435669
1.0,0.0795291669977208,0.05906037241220474
5.0,0.105566667082409,0.10520270466804504
2.0,0.0690208331992229,0.08246516436338425
1.0,0.0412333339142303,0.056973956525325775
4.0,0.0352850005030632,0.0360691100358963
1.0,0.0398249995584289,0.06289245188236237
4.0,0.0425541667888562,0.13965609669685364
4.0,0.0402083341032267,0.07590417563915253
2.0,0.0428090913390571,0.06410545110702515
5.0,0.106829166722794,0.13752299547195435
5.0,0.0685249996992449,0.10484772175550461
1.0,0.0940916667071481,0.16193997859954834
3.0,0.179908333346248,0.15115822851657867
4.0,0.17814583145082,0.15248869359493256
5.0,0.163149999454618,0.18556296825408936
5.0,0.142299999172489,0.17983010411262512
2.0,0.100870833111306,0.11938323080539703
5.0,0.170254165927569,0.18026545643806458
4.0,0.180150000999371,0.17024128139019012
1.0,0.164691305030947,0.18334850668907166
4.0,0.177670833344261,0.19147057831287384
1.0,0.196625001728535,0.19344623386859894
1.0,0.19790416645507,0.1871504932641983
4.0,0.196199999678703,0.1690586656332016
2.0,0.159416666254401,0.16590002179145813
1.0,0.176070833578706,0.18567080795764923
4.0,0.186987499396006,0.16644185781478882
5.0,0.173754165569941,0.1713789999485016
3.0,0.167425000419219,0.18446171283721924
1.0,0.143249998490016,0.1725464165210724
5.0,0.127374999846021,0.1793746054172516
1.0,0.105549999823173,0.20269127190113068
5.0,0.172137499476473,0.18129363656044006
5.0,0.172808332368731,0.15486127138137817
3.0,0.202287500724196,0.1602790355682373
4.0,0.192625001072884,0.19706624746322632
2.0,0.198575000589093,0.17744067311286926
2.0,0.199020832777023,0.18944016098976135
1.0,0.174929166212678,0.16800135374069214
2.0,0.18212499966224,0.17440931499004364
1.0,0.193620833878716,0.1719401776790619
4.0,0.214729165658355,0.20469580590724945
4.0,0.216879167283575,0.19754204154014587
5.0,0.176766666894158,0.1835981011390686
4.0,0.193354167665044,0.19743669033050537
4.0,0.189487500737111,0.16898824274539948
1.0,0.155316667631269,0.16672581434249878
1.0,0.189458333576719,0.17115801572799683
1.0,0.155033331985275,0.16699275374412537
4.0,0.121733332984149,0.1667163074016571
5.0,0.159283332526684,0.15505504608154297
3.0,0.126979165089627,0.07915761321783066
2.0,0.159199997161826,0.16007724404335022
5.0,0.109649999688069,0.08854511380195618
5.0,0.0879333332801859,0.07976840436458588
1.0,0.0662916662792365,0.07399235665798187
4.0,0.0515208331247171,0.046476125717163086
5.0,0.0454375005016724,0.03784150257706642
5.0,0.0391958332620561,0.032706841826438904
3.0,0.0349916669850548,0.03721526265144348
5.0,0.0315458332188427,0.03686951845884323
5.0,0.0283374999028941,0.025678440928459167
4.0,0.0253583335628112,0.011143296957015991
4.0,0.0240458333864808,0.012683749198913574
